,TagName,Designation,DesignationStrength
0,autoencoder,Academia-Ambiguous,9
1,backpropagation,Academia-Ambiguous,34
2,bias-neuron,Academia-Ambiguous,1
3,caffe,Academia-Ambiguous,29
4,conv-neural-network,Academia-Ambiguous,47
5,convolution,Academia-Ambiguous,31
6,deep-learning,Academia-Ambiguous,104
7,feed-forward,Academia-Ambiguous,2
8,keras,Academia-Ambiguous,36
9,lstm,Academia-Ambiguous,6
10,neural-network,Academia-Ambiguous,200
11,pytorch,Academia-Ambiguous,8
12,recurrent-neural-network,Academia-Ambiguous,3
13,rnn,Academia-Ambiguous,2
14,tensor,Academia-Ambiguous,1
15,tensorboard,Academia-Ambiguous,5
16,tensorflow,Academia-Ambiguous,203
17,tensorflow-gpu,Academia-Ambiguous,2
18,torch,Academia-Ambiguous,9
19,backpropagation,Academia-Pedagogical,5
20,bias-neuron,Academia-Pedagogical,2
21,caffe,Academia-Pedagogical,2
22,conv-neural-network,Academia-Pedagogical,5
23,convolution,Academia-Pedagogical,6
24,deep-learning,Academia-Pedagogical,17
25,keras,Academia-Pedagogical,5
26,lstm,Academia-Pedagogical,1
27,neural-network,Academia-Pedagogical,32
28,pytorch,Academia-Pedagogical,1
29,tensorboard,Academia-Pedagogical,2
30,tensorflow,Academia-Pedagogical,35
31,torch,Academia-Pedagogical,2
32,autoencoder,Academia-Professional,11
33,backpropagation,Academia-Professional,1
34,batch-normalization,Academia-Professional,1
35,caffe,Academia-Professional,3
36,conv-neural-network,Academia-Professional,29
37,convolution,Academia-Professional,12
38,deep-learning,Academia-Professional,58
39,keras,Academia-Professional,98
40,lstm,Academia-Professional,4
41,neural-network,Academia-Professional,50
42,pytorch,Academia-Professional,1
43,recurrent-neural-network,Academia-Professional,3
44,tensorboard,Academia-Professional,6
45,tensorflow,Academia-Professional,105
46,tensorflow-gpu,Academia-Professional,1
47,attention-model,Academia-Student,3
48,autoencoder,Academia-Student,21
49,backpropagation,Academia-Student,51
50,batch-normalization,Academia-Student,10
51,caffe,Academia-Student,123
52,conv-neural-network,Academia-Student,137
53,convolution,Academia-Student,61
54,deconvolution,Academia-Student,2
55,deep-learning,Academia-Student,390
56,deeplearning4j,Academia-Student,2
57,feed-forward,Academia-Student,1
58,keras,Academia-Student,292
59,keras-layer,Academia-Student,3
60,lstm,Academia-Student,41
61,neural-network,Academia-Student,388
62,pytorch,Academia-Student,54
63,recurrent-neural-network,Academia-Student,21
64,resnet,Academia-Student,3
65,rnn,Academia-Student,7
66,tensor,Academia-Student,14
67,tensorboard,Academia-Student,48
68,tensorflow,Academia-Student,897
69,tensorflow-gpu,Academia-Student,17
70,tensorflow-slim,Academia-Student,1
71,torch,Academia-Student,17
72,autoencoder,Online-User-Profile-Present,19
73,backpropagation,Online-User-Profile-Present,27
74,batch-normalization,Online-User-Profile-Present,6
75,bias-neuron,Online-User-Profile-Present,2
76,caffe,Online-User-Profile-Present,513
77,conv-neural-network,Online-User-Profile-Present,99
78,convolution,Online-User-Profile-Present,50
79,deconvolution,Online-User-Profile-Present,1
80,deep-learning,Online-User-Profile-Present,278
81,keras,Online-User-Profile-Present,301
82,keras-layer,Online-User-Profile-Present,1
83,lstm,Online-User-Profile-Present,16
84,neural-network,Online-User-Profile-Present,297
85,pytorch,Online-User-Profile-Present,21
86,recurrent-neural-network,Online-User-Profile-Present,4
87,resnet,Online-User-Profile-Present,1
88,rnn,Online-User-Profile-Present,5
89,sequence-to-sequence,Online-User-Profile-Present,1
90,tensor,Online-User-Profile-Present,19
91,tensorboard,Online-User-Profile-Present,11
92,tensorflow,Online-User-Profile-Present,255
93,tensorflow-gpu,Online-User-Profile-Present,4
94,torch,Online-User-Profile-Present,17
95,attention-model,Professional,3
96,autoencoder,Professional,33
97,backpropagation,Professional,95
98,batch-normalization,Professional,7
99,bias-neuron,Professional,5
100,caffe,Professional,258
101,conv-neural-network,Professional,165
102,convolution,Professional,205
103,deconvolution,Professional,3
104,deep-dream,Professional,1
105,deep-learning,Professional,603
106,deep-residual-networks,Professional,1
107,deeplearning4j,Professional,63
108,feed-forward,Professional,7
109,keras,Professional,397
110,keras-layer,Professional,2
111,lstm,Professional,53
112,max-pooling,Professional,3
113,neural-network,Professional,869
114,pytorch,Professional,17
115,recurrent-neural-network,Professional,24
116,resnet,Professional,4
117,rnn,Professional,10
118,sequence-to-sequence,Professional,1
119,tensor,Professional,18
120,tensorboard,Professional,69
121,tensorflow,Professional,2161
122,tensorflow-gpu,Professional,54
123,tensorflow-slim,Professional,2
124,torch,Professional,103
125,attention-model,Unknown,15
126,autoencoder,Unknown,135
127,backpropagation,Unknown,275
128,batch-normalization,Unknown,53
129,bias-neuron,Unknown,15
130,caffe,Unknown,835
131,conv-neural-network,Unknown,880
132,convolution,Unknown,516
133,deconvolution,Unknown,19
134,deep-dream,Unknown,4
135,deep-learning,Unknown,2375
136,deep-residual-networks,Unknown,2
137,deeplearning4j,Unknown,29
138,feed-forward,Unknown,14
139,keras,Unknown,2053
140,keras-layer,Unknown,13
141,lstm,Unknown,313
142,max-pooling,Unknown,5
143,neural-network,Unknown,2653
144,pytorch,Unknown,208
145,recurrent-neural-network,Unknown,115
146,resnet,Unknown,12
147,rnn,Unknown,39
148,sequence-to-sequence,Unknown,9
149,tensor,Unknown,108
150,tensorboard,Unknown,309
151,tensorflow,Unknown,7157
152,tensorflow-gpu,Unknown,145
153,tensorflow-slim,Unknown,13
154,torch,Unknown,265
