,TagName,Designation,DesignationStrength
0,autoencoder,Academia-Ambiguous,2
1,backpropagation,Academia-Ambiguous,3
2,batch-normalization,Academia-Ambiguous,1
3,caffe,Academia-Ambiguous,20
4,conv-neural-network,Academia-Ambiguous,8
5,convolution,Academia-Ambiguous,13
6,deconvolution,Academia-Ambiguous,2
7,deep-learning,Academia-Ambiguous,36
8,feed-forward,Academia-Ambiguous,1
9,keras,Academia-Ambiguous,57
10,keras-layer,Academia-Ambiguous,6
11,lstm,Academia-Ambiguous,15
12,max-pooling,Academia-Ambiguous,1
13,neural-network,Academia-Ambiguous,63
14,pytorch,Academia-Ambiguous,6
15,recurrent-neural-network,Academia-Ambiguous,10
16,rnn,Academia-Ambiguous,2
17,tensor,Academia-Ambiguous,1
18,tensorboard,Academia-Ambiguous,5
19,tensorflow,Academia-Ambiguous,175
20,tensorflow-gpu,Academia-Ambiguous,4
21,tensorflow-slim,Academia-Ambiguous,2
22,torch,Academia-Ambiguous,8
23,backpropagation,Academia-Pedagogical,5
24,caffe,Academia-Pedagogical,1
25,convolution,Academia-Pedagogical,8
26,deep-learning,Academia-Pedagogical,18
27,keras,Academia-Pedagogical,2
28,lstm,Academia-Pedagogical,2
29,neural-network,Academia-Pedagogical,29
30,pytorch,Academia-Pedagogical,5
31,recurrent-neural-network,Academia-Pedagogical,6
32,rnn,Academia-Pedagogical,1
33,tensor,Academia-Pedagogical,2
34,tensorboard,Academia-Pedagogical,6
35,tensorflow,Academia-Pedagogical,56
36,torch,Academia-Pedagogical,3
37,autoencoder,Academia-Professional,1
38,backpropagation,Academia-Professional,2
39,batch-normalization,Academia-Professional,1
40,caffe,Academia-Professional,4
41,conv-neural-network,Academia-Professional,6
42,convolution,Academia-Professional,2
43,deep-learning,Academia-Professional,40
44,deeplearning4j,Academia-Professional,1
45,feed-forward,Academia-Professional,1
46,keras,Academia-Professional,39
47,keras-layer,Academia-Professional,1
48,lstm,Academia-Professional,8
49,max-pooling,Academia-Professional,1
50,neural-network,Academia-Professional,31
51,pytorch,Academia-Professional,4
52,recurrent-neural-network,Academia-Professional,4
53,rnn,Academia-Professional,3
54,tensorboard,Academia-Professional,6
55,tensorflow,Academia-Professional,119
56,tensorflow-gpu,Academia-Professional,2
57,tensorflow-slim,Academia-Professional,1
58,torch,Academia-Professional,4
59,attention-model,Academia-Student,2
60,autoencoder,Academia-Student,9
61,backpropagation,Academia-Student,32
62,batch-normalization,Academia-Student,7
63,bias-neuron,Academia-Student,1
64,caffe,Academia-Student,129
65,conv-neural-network,Academia-Student,124
66,convolution,Academia-Student,70
