,AnsId,TagName,TagStrength,AnsScore,ScoreRange,AnsUserRep,ReputationRange,SmoothedWeightedUpVoteDownVoteRatio,SWUDRRange
0,64622,neural-network,0.1516451591108709,10,[-3.00 - 301.33),55160,[1.00 - 337956.67),0.006191950464396285,[0.00 - 141.84)
1,100479,neural-network,0.1516451591108709,14,[-3.00 - 301.33),417,[1.00 - 337956.67),0.015479876160990712,[0.00 - 141.84)
2,217047,neural-network,0.1516451591108709,11,[-3.00 - 301.33),34286,[1.00 - 337956.67),0.01238390092879257,[0.00 - 141.84)
3,1297803,neural-network,0.1516451591108709,2,[-3.00 - 301.33),111857,[1.00 - 337956.67),7.195046439628482,[0.00 - 141.84)
4,297250,convolution,0.029761502601175598,2,[-2.00 - 21.33),273,[1.00 - 176762.33),0.0030959752321981426,[0.00 - 141.84)
5,319657,neural-network,0.1516451591108709,7,[-3.00 - 301.33),3760,[1.00 - 337956.67),0.008255933952528379,[0.00 - 141.84)
6,312731,neural-network,0.1516451591108709,8,[-3.00 - 301.33),267424,[1.00 - 337956.67),0.05882352941176471,[0.00 - 141.84)
7,316404,neural-network,0.1516451591108709,9,[-3.00 - 301.33),7750,[1.00 - 337956.67),0.010319917440660476,[0.00 - 141.84)
8,326181,neural-network,0.1516451591108709,7,[-3.00 - 301.33),5842,[1.00 - 337956.67),0.008255933952528379,[0.00 - 141.84)
9,413075,neural-network,0.1516451591108709,20,[-3.00 - 301.33),2769,[1.00 - 337956.67),0.10732714138286893,[0.00 - 141.84)
10,670279,neural-network,0.1516451591108709,11,[-3.00 - 301.33),42806,[1.00 - 337956.67),0.01238390092879257,[0.00 - 141.84)
11,10631596,torch,0.01395176001621512,11,[6.33 - 13.67),111,[1.00 - 84779.33),0.01238390092879257,[0.00 - 12.85)
12,412027,neural-network,0.1516451591108709,53,[-3.00 - 301.33),83456,[1.00 - 337956.67),0.05572755417956656,[0.00 - 141.84)
13,434152,neural-network,0.1516451591108709,1,[-3.00 - 301.33),4135,[1.00 - 337956.67),0.0020639834881320948,[0.00 - 141.84)
14,475279,neural-network,0.1516451591108709,3,[-3.00 - 301.33),1316,[1.00 - 337956.67),0.0041279669762641896,[0.00 - 141.84)
15,500625,neural-network,0.1516451591108709,31,[-3.00 - 301.33),2769,[1.00 - 337956.67),0.10732714138286893,[0.00 - 141.84)
16,3273663,neural-network,0.1516451591108709,13,[-3.00 - 301.33),1690,[1.00 - 337956.67),0.014447884416924663,[0.00 - 141.84)
17,515667,neural-network,0.1516451591108709,3,[-3.00 - 301.33),93019,[1.00 - 337956.67),0.0041279669762641896,[0.00 - 141.84)
18,522903,neural-network,0.1516451591108709,8,[-3.00 - 301.33),7380,[1.00 - 337956.67),0.009287925696594429,[0.00 - 141.84)
19,552954,neural-network,0.1516451591108709,8,[-3.00 - 301.33),29438,[1.00 - 337956.67),0.009287925696594429,[0.00 - 141.84)
20,605615,neural-network,0.1516451591108709,6,[-3.00 - 301.33),7241,[1.00 - 337956.67),0.007223942208462331,[0.00 - 141.84)
21,616711,neural-network,0.1516451591108709,5,[-3.00 - 301.33),41869,[1.00 - 337956.67),0.006191950464396285,[0.00 - 141.84)
22,628648,neural-network,0.1516451591108709,17,[-3.00 - 301.33),1648,[1.00 - 337956.67),0.018575851393188854,[0.00 - 141.84)
23,635563,neural-network,0.1516451591108709,5,[-3.00 - 301.33),4514,[1.00 - 337956.67),0.006191950464396285,[0.00 - 141.84)
24,645395,neural-network,0.1516451591108709,1,[-3.00 - 301.33),240316,[1.00 - 337956.67),0.0030959752321981426,[0.00 - 141.84)
25,652351,neural-network,0.1516451591108709,5,[-3.00 - 301.33),22392,[1.00 - 337956.67),0.006191950464396285,[0.00 - 141.84)
26,6541847,neural-network,0.1516451591108709,9,[-3.00 - 301.33),1955,[1.00 - 337956.67),1.7647058823529411,[0.00 - 141.84)
27,1411248,neural-network,0.1516451591108709,4,[-3.00 - 301.33),2636,[1.00 - 337956.67),0.0051599587203302365,[0.00 - 141.84)
28,1999600,neural-network,0.1516451591108709,4,[-3.00 - 301.33),987,[1.00 - 337956.67),0.05572755417956656,[0.00 - 141.84)
29,693351,backpropagation,0.016485372609958786,5,[-1.00 - 16.33),7879,[1.00 - 162004.33),0.006191950464396285,[0.00 - 141.84)
30,696410,neural-network,0.1516451591108709,2,[-3.00 - 301.33),8206,[1.00 - 337956.67),0.010319917440660476,[0.00 - 141.84)
31,715207,neural-network,0.1516451591108709,9,[-3.00 - 301.33),12609,[1.00 - 337956.67),0.005675954592363261,[0.00 - 141.84)
32,741907,neural-network,0.1516451591108709,2,[-3.00 - 301.33),11606,[1.00 - 337956.67),0.0030959752321981426,[0.00 - 141.84)
33,744911,neural-network,0.1516451591108709,9,[-3.00 - 301.33),18775,[1.00 - 337956.67),0.010319917440660476,[0.00 - 141.84)
34,2845164,neural-network,0.1516451591108709,9,[-3.00 - 301.33),314,[1.00 - 337956.67),0.010319917440660476,[0.00 - 141.84)
35,761362,neural-network,0.1516451591108709,14,[-3.00 - 301.33),35380,[1.00 - 337956.67),0.03508771929824561,[0.00 - 141.84)
36,829419,neural-network,0.1516451591108709,24,[-3.00 - 301.33),4402,[1.00 - 337956.67),0.025799793601651185,[0.00 - 141.84)
37,807214,convolution,0.029761502601175598,5,[-2.00 - 21.33),15295,[1.00 - 176762.33),0.018575851393188854,[0.00 - 141.84)
38,825195,neural-network,0.1516451591108709,3,[-3.00 - 301.33),21024,[1.00 - 337956.67),0.0041279669762641896,[0.00 - 141.84)
39,828566,neural-network,0.1516451591108709,11,[-3.00 - 301.33),281,[1.00 - 337956.67),0.01238390092879257,[0.00 - 141.84)
40,835659,neural-network,0.1516451591108709,12,[-3.00 - 301.33),31440,[1.00 - 337956.67),0.037151702786377715,[0.00 - 141.84)
41,843133,neural-network,0.1516451591108709,4,[-3.00 - 301.33),105825,[1.00 - 337956.67),0.0051599587203302365,[0.00 - 141.84)
42,873463,neural-network,0.1516451591108709,9,[-3.00 - 301.33),24168,[1.00 - 337956.67),0.02476780185758514,[0.00 - 141.84)
43,900421,neural-network,0.1516451591108709,11,[-3.00 - 301.33),3559,[1.00 - 337956.67),0.01238390092879257,[0.00 - 141.84)
44,3000769,neural-network,0.1516451591108709,2,[-3.00 - 301.33),2750,[1.00 - 337956.67),5.962848297213623,[0.00 - 141.84)
45,925488,convolution,0.029761502601175598,7,[-2.00 - 21.33),14063,[1.00 - 176762.33),0.008255933952528379,[0.00 - 141.84)
46,937147,neural-network,0.1516451591108709,3,[-3.00 - 301.33),5721,[1.00 - 337956.67),0.2930856553147575,[0.00 - 141.84)
47,1297703,neural-network,0.1516451591108709,0,[-3.00 - 301.33),111857,[1.00 - 337956.67),7.195046439628482,[0.00 - 141.84)
48,957466,neural-network,0.1516451591108709,18,[-3.00 - 301.33),24456,[1.00 - 337956.67),8.866873065015481,[0.00 - 141.84)
49,959579,convolution,0.029761502601175598,2,[-2.00 - 21.33),24168,[1.00 - 176762.33),0.02476780185758514,[0.00 - 141.84)
50,13205138,neural-network,0.1516451591108709,48,[-3.00 - 301.33),604,[1.00 - 337956.67),0.05056759545923633,[0.00 - 141.84)
51,1030648,neural-network,0.1516451591108709,0,[-3.00 - 301.33),5026,[1.00 - 337956.67),0.0010319917440660474,[0.00 - 141.84)
52,1205509,neural-network,0.1516451591108709,3,[-3.00 - 301.33),1037,[1.00 - 337956.67),0.0041279669762641896,[0.00 - 141.84)
53,1224347,convolution,0.029761502601175598,1,[-2.00 - 21.33),14842,[1.00 - 176762.33),0.0020639834881320948,[0.00 - 141.84)
54,1295041,neural-network,0.1516451591108709,2,[-3.00 - 301.33),18591,[1.00 - 337956.67),0.0030959752321981426,[0.00 - 141.84)
55,6791398,neural-network,0.1516451591108709,8,[-3.00 - 301.33),96,[1.00 - 337956.67),0.009287925696594429,[0.00 - 141.84)
56,1334943,neural-network,0.1516451591108709,1,[-3.00 - 301.33),3002,[1.00 - 337956.67),0.0020639834881320948,[0.00 - 141.84)
57,1343750,neural-network,0.1516451591108709,3,[-3.00 - 301.33),24010,[1.00 - 337956.67),0.10732714138286893,[0.00 - 141.84)
58,1369315,neural-network,0.1516451591108709,3,[-3.00 - 301.33),40812,[1.00 - 337956.67),0.0041279669762641896,[0.00 - 141.84)
59,1376338,convolution,0.029761502601175598,6,[-2.00 - 21.33),31555,[1.00 - 176762.33),0.007223942208462331,[0.00 - 141.84)
60,1401934,neural-network,0.1516451591108709,2,[-3.00 - 301.33),4311,[1.00 - 337956.67),0.008255933952528379,[0.00 - 141.84)
61,1402410,neural-network,0.1516451591108709,106,[-3.00 - 301.33),2981,[1.00 - 337956.67),0.11042311661506707,[0.00 - 141.84)
62,1478163,neural-network,0.1516451591108709,2,[-3.00 - 301.33),59569,[1.00 - 337956.67),0.0030959752321981426,[0.00 - 141.84)
63,1495888,neural-network,0.1516451591108709,3,[-3.00 - 301.33),111857,[1.00 - 337956.67),7.195046439628482,[0.00 - 141.84)
64,1512320,neural-network,0.1516451591108709,2,[-3.00 - 301.33),140984,[1.00 - 337956.67),0.010319917440660476,[0.00 - 141.84)
65,1514631,neural-network,0.1516451591108709,7,[-3.00 - 301.33),5721,[1.00 - 337956.67),0.2930856553147575,[0.00 - 141.84)
66,1523683,neural-network,0.1516451591108709,19,[-3.00 - 301.33),55053,[1.00 - 337956.67),0.18369453044375644,[0.00 - 141.84)
67,1629120,convolution,0.029761502601175598,6,[-2.00 - 21.33),4879,[1.00 - 176762.33),0.007223942208462331,[0.00 - 141.84)
68,1549856,neural-network,0.1516451591108709,8,[-3.00 - 301.33),8840,[1.00 - 337956.67),0.0051599587203302365,[0.00 - 141.84)
69,1551547,neural-network,0.1516451591108709,3,[-3.00 - 301.33),188582,[1.00 - 337956.67),0.008255933952528379,[0.00 - 141.84)
70,1565184,neural-network,0.1516451591108709,16,[-3.00 - 301.33),45569,[1.00 - 337956.67),0.017543859649122806,[0.00 - 141.84)
71,1573211,neural-network,0.1516451591108709,11,[-3.00 - 301.33),1087,[1.00 - 337956.67),0.006707946336429308,[0.00 - 141.84)
72,1584901,neural-network,0.1516451591108709,1,[-3.00 - 301.33),77466,[1.00 - 337956.67),0.0020639834881320948,[0.00 - 141.84)
73,1609425,neural-network,0.1516451591108709,4,[-3.00 - 301.33),111857,[1.00 - 337956.67),7.195046439628482,[0.00 - 141.84)
74,1766977,convolution,0.029761502601175598,2,[-2.00 - 21.33),16653,[1.00 - 176762.33),0.0412796697626419,[0.00 - 141.84)
75,1611350,neural-network,0.1516451591108709,11,[-3.00 - 301.33),55053,[1.00 - 337956.67),0.18369453044375644,[0.00 - 141.84)
