,TagName,TagStrength,FirstMTMUA (Days),SecondMTMUA (Days),ThirdMTMUA (Days)
26,tensorflow,0.3652793730153368,18.492925182650513,18.87311569407195,9.698788495329696
18,neural-network,0.1516451591108709,29.597014925373134,42.52238805970149,30.841167297839164
10,deep-learning,0.12921424228092696,19.680261437908495,20.927581699346405,14.82718954248366
14,keras,0.10749273697723127,17.716844751728473,16.221873035826523,10.378378378378379
5,caffe,0.05955678670360111,26.681225184344868,25.637549631310268,14.66874645490641
6,conv-neural-network,0.046010404702384974,21.09324522760646,22.143906020558003,14.78267254038179
7,convolution,0.029761502601175598,25.951191827468786,27.683314415437003,27.374574347332576
2,backpropagation,0.016485372609958786,22.434426229508198,28.668032786885245,29.82377049180328
25,tensorboard,0.015201675562461995,26.56888888888889,27.633333333333333,26.43111111111111
16,lstm,0.014661171542463347,32.463133640552996,34.73963133640553,20.285714285714285
29,torch,0.01395176001621512,28.99273607748184,18.230024213075062,10.048426150121065
19,pytorch,0.01047226538747382,12.09032258064516,9.551612903225806,4.064516129032258
1,autoencoder,0.007702182284980745,34.31578947368421,31.105263157894736,25.36842105263158
27,tensorflow-gpu,0.007533274778731167,14.188340807174887,13.964125560538116,3.690582959641256
20,recurrent-neural-network,0.005742855212485643,36.96470588235294,31.658823529411766,19.058823529411764
24,tensor,0.005405040199986487,3.8875,13.18125,6.4375
12,deeplearning4j,0.0031754611174920613,21.51063829787234,11.361702127659575,11.702127659574469
3,batch-normalization,0.002601175596243497,30.01298701298701,34.45454545454545,26.038961038961038
22,rnn,0.0021282345787446795,9.65079365079365,9.761904761904763,4.380952380952381
8,deconvolution,0.0008445375312478887,22.72,13.36,0.08
4,bias-neuron,0.0008445375312478887,45.8,76.24,38.48
13,feed-forward,0.0008107560299979731,6.666666666666667,52.666666666666664,2.7916666666666665
0,attention-model,0.0007094115262482265,24.19047619047619,24.19047619047619,22.142857142857142
21,resnet,0.0006756300249983109,46.25,8.8,13.25
15,keras-layer,0.0006418485237483953,1.0,0.05263157894736842,0.21052631578947367
28,tensorflow-slim,0.0005405040199986487,20.25,21.1875,2.0625
23,sequence-to-sequence,0.00037159651374907103,18.818181818181817,16.90909090909091,11.272727272727273
17,max-pooling,0.00027025200999932435,8.125,8.125,91.375
9,deep-dream,0.00016890750624957773,62.4,56.0,38.8
11,deep-residual-networks,0.00010134450374974664,3.6666666666666665,3.6666666666666665,0.0
